# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2247
#@/user_id	bigzhu_mac
gei ta 	給他	c=1 d=0.0343896 t=2247
gen ju 	根據	c=1 d=0.0682212 t=2247
geng 	更	c=1 d=0.010889 t=2247
geng xin 	更新	c=1 d=0.127454 t=2247
gong dan 	工單	c=0 d=0.071177 t=2247
gong dan guan li 	工單管理	c=1 d=0.715338 t=2247
gong ju lei 	工具類	c=1 d=0.0417941 t=2247
gong neng 	功能	c=4 d=1.08114 t=2247
gou jian 	構建	c=5 d=1.86923 t=2247
gu li 	孤立	c=1 d=0.0812682 t=2247
gu li 	鼓勵	c=0 d=0.1 t=2016
gu li shi 	鼓勵式	c=1 d=1 t=2017
gu niang 	姑娘	c=1 d=1 t=2033
gu shi 	故事	c=2 d=0.259929 t=2247
gua 	掛	c=1 d=0.0380064 t=2247
gua diao 	掛掉	c=1 d=0.625002 t=2247
guan 	關	c=1 d=1 t=1964
guan bi 	關閉	c=2 d=0.218588 t=2247
guan fang 	官方	c=1 d=0.0095616 t=2247
guan li 	管理	c=4 d=0.751765 t=2247
guan lian 	關聯	c=1 d=0.0195457 t=2247
guan wang 	官網	c=2 d=0.0211791 t=2247
guan xi 	關係	c=5 d=0.496463 t=2247
guan xi tu pu 	關係圖譜	c=1 d=0.0199405 t=2247
guan xin 	關心	c=8 d=5.34748 t=2211
guan yu 	關於	c=1 d=0.132655 t=2247
guan zhu 	關注	c=13 d=2.85032 t=2247
guan zhu ren 	關注人	c=1 d=1 t=1938
guang gao 	廣告	c=2 d=0.0858337 t=2247
guo 	過	c=2 d=0.53721 t=2247
guo fen 	過份	c=1 d=1 t=2009
guo lai 	過來	c=3 d=0.316055 t=2247
guo nei wai 	國內外	c=1 d=0.138069 t=2247
guo nian 	過年	c=2 d=1.2885 t=2247
guo ran 	果然	c=1 d=0.941765 t=2247
ha ha 	哈哈	c=3 d=0.817757 t=2247
hai 	還	c=4 d=0.621143 t=2247
hai hao 	還好	c=1 d=0.0149956 t=2247
hai liang 	海量	c=2 d=1.91851 t=2023
hai mei 	還沒	c=1 d=0.0227089 t=2247
hai nan 	海南	c=1 d=1 t=1924
hai shi 	還是	c=8 d=1.44871 t=2247
hai shi bi 	還是比	c=1 d=0.0151463 t=2247
hai you 	還有	c=2 d=0.660301 t=2247
hai you dian 	還有點	c=1 d=0.628135 t=2247
hai you ge 	還有個	c=1 d=0.465334 t=2247
hai zai 	還在	c=4 d=0.90097 t=2247
hang 	行	c=1 d=0.0471227 t=2247
hao 	好	c=2 d=0.157726 t=2247
hao de 	好的	c=2 d=0.973763 t=2247
hao hao hao 	好好好	c=1 d=1 t=2001
hao xiang 	好像	c=3 d=0.314557 t=2247
hao xiang jiao 	好像叫	c=1 d=0.377192 t=2247
hao xiong di 	好兄弟	c=1 d=0.0174224 t=2247
he 	和	c=17 d=1.81936 t=2247
he bing 	合併	c=2 d=0.88529 t=2247
he ni 	和你	c=2 d=0.0518731 t=2247
he xin 	核心	c=1 d=0.179964 t=2247
hei 	黑	c=1 d=0.0473589 t=2247
hei jin 	黑金	c=1 d=0.0531307 t=2247
hen 	很	c=5 d=0.615244 t=2247
hen duo 	很多	c=1 d=0.0155297 t=2247
hen gao 	很高	c=1 d=0.67032 t=2247
hen ma fan 	很麻煩	c=1 d=0.0183156 t=2247
hen nan 	很難	c=1 d=0.337902 t=2247
hen shi 	很是	c=1 d=0.0238732 t=2247
hen wei qu 	很委屈	c=1 d=1 t=2184
hong 	紅	c=1 d=0.125556 t=2247
hou 	後	c=5 d=1.13989 t=2247
hou lai 	後來	c=2 d=0.498858 t=2247
hou xu 	後續	c=2 d=0.141608 t=2247
hou xuan 	侯选	c=0 d=0.1 t=1900
hou xuan ci 	侯选詞	c=2 d=1.99005 t=1903
hou zhui 	後綴	c=5 d=0.202522 t=2247
hu xiang 	互相	c=1 d=1 t=1975
hua 	花	c=1 d=1 t=2174
huan 	換	c=1 d=0.0147723 t=2247
huan le 	換了	c=1 d=0.0149208 t=2247
huang jin 	黃金	c=1 d=0.0380064 t=2247
hui 	會	c=4 d=0.170031 t=2247
hui bei 	會被	c=3 d=0.0809599 t=2247
hui che 	回車	c=2 d=0.0204085 t=2247
hui fu 	回覆	c=1 d=0.554327 t=2247
hui fu 	恢復	c=1 d=0.557106 t=2247
hui pu pu 	灰撲撲	c=1 d=0.0137736 t=2247
hui qu 	回去	c=1 d=0.0399551 t=2247
hun 	混	c=1 d=0.025223 t=2247
huo dong 	活動	c=1 d=0.0135009 t=2247
huo zhe 	或者	c=4 d=1.24769 t=2247
ji ben 	基本	c=0 d=0.00359725 t=2247
ji dian 	幾點	c=1 d=1 t=2240
ji huo 	激活	c=3 d=0.169495 t=2247
ji ke 	即可	c=1 d=0.282239 t=2247
ji lu 	記錄	c=7 d=2.44716 t=2247
ji nian 	幾年	c=1 d=0.726149 t=2247
ji qiao 	技巧	c=1 d=0.0323869 t=2247
ji rou 	肌肉	c=2 d=1.71645 t=2247
ji shu 	技術	c=2 d=0.91003 t=2247
ji su 	激素	c=1 d=0.0136557 t=2247
ji ti 	集體	c=1 d=0.13332 t=2247
ji xu 	繼續	c=1 d=0.0175097 t=2247
ji zhe 	急着	c=1 d=0.0437178 t=2247
jia 	加	c=2 d=0.483256 t=2247
jia chi 	加持	c=1 d=0.13068 t=2247
jia li 	家裏	c=1 d=0.0176857 t=2247
jia ru 	加入	c=1 d=0.392586 t=2247
jia zai 	加載	c=1 d=0.214381 t=2247
jia zu 	家族	c=1 d=0.053397 t=2247
jian 	見	c=1 d=0.162026 t=2247
jian cha 	檢查	c=2 d=0.271703 t=2247
jian dao 	剪刀	c=0 d=0.0431711 t=2247
jian dao shou 	剪刀手	c=1 d=0.433874 t=2247
jian kang 	健康	c=1 d=0.559898 t=2247
jian li 	建立	c=6 d=0.160822 t=2247
jian li 	簡歷	c=1 d=0.398519 t=2247
jian suo 	檢索	c=5 d=0.270793 t=2247
jian tie 	剪貼	c=1 d=0.124307 t=2247
jian tie ban 	剪貼板	c=1 d=0.188247 t=2247
jiang 	講	c=0 d=0.0115903 t=2247
jiang bu hao 	講不好	c=1 d=0.116484 t=2247
jiang gu shi 	講故事	c=1 d=0.135335 t=2247
jiang hao 	講好	c=2 d=0.26089 t=2247
jiang li 	獎勵	c=1 d=1 t=2126
jiao 	叫	c=1 d=0.0527534 t=2247
jiao ben 	腳本	c=3 d=0.502899 t=2247
jiao qu 	叫去	c=1 d=0.0175975 t=2247
jiao yu 	教育	c=1 d=1 t=2018
jie dian 	節點	c=6 d=0.262554 t=2247
jie guo 	結果	c=1 d=0.0443785 t=2247
jie jue 	解決	c=7 d=0.760323 t=2247
jie shao 	介紹	c=6 d=0.228736 t=2247
jie shi 	解釋	c=0 d=0.0031117 t=2247
jie shou 	接受	c=1 d=1 t=2114
jin du 	進度	c=1 d=0.017249 t=2247
jin qi 	近期	c=1 d=0.121238 t=2247
jin ru 	進入	c=5 d=0.0810957 t=2247
